territory_code,royalty_period,payee_account_id,deal_id,line_id,payee_id,tango_work_code,source_work_id,source_territory,tango_income_type,composer,source_income_type,statement_id,deal_scope_id,processing_territory,distribution_start,distribution_end,income_provider_id,income_provider_name,exploitation_territory_code,exploitation_territory_name,exploitation_source,product_description,units,amount_received,apportion_share_percentage,statement_line_rate,rate_percentage,rate_application_method_code,amount_paid,tax_rate,withholding_tax,amount_paid_less_tax,distribution_start_short,distribution_end_short,processing_territory_name,source_territory_name,deal_contract_brief_number,deal_scope_name,deal_contracting_parties,tango_income_type_name,tango_income_type_group_name,tango_work_title,creator_names
752,202101202106,5fc31e4b-a649-40c3-b8d3-250f5835454c,7a3d5bf4-567d-4fb8-8252-de7e140e4c48,446d45c4-641b-4157-824c-1b580b2aee58,4a231511-3e2c-4341-abe1-46f0c295dafd,WW 008977019 00,6224454,250,DSMC,LINDAL,SDIGM,22685,37f402af-05d4-483f-933d-1a48650601cc,752,202001,202003,2d2ebf87-90ea-4399-d0b6-443ec97d7322,STIM DIRECT - FRANCE,250,FRANC,Spotify Family Europa Mek.,,197,1.4,100,100,60,SOURCE,0.84,0,0,0.84,20/01,20/03,Sweden,France,163326,"SE 100413256 LINDAL, LISA","LINDAL, LISA JOHANNA",Streaming Mechanical,Digital Mechanical,WHY AM I HERE,"LINDAL, LISA JOHANNA"
752,202101202106,5fc31e4b-a649-40c3-b8d3-250f5835454c,7a3d5bf4-567d-4fb8-8252-de7e140e4c48,48251209-996e-4966-acca-e33c4bfc2447,4a231511-3e2c-4341-abe1-46f0c295dafd,WW 008977019 00,6224454,250,DSPF,LINDAL,SDIGP,22685,37f402af-05d4-483f-933d-1a48650601cc,752,202001,202003,2d2ebf87-90ea-4399-d0b6-443ec97d7322,STIM DIRECT - FRANCE,250,FRANC,Spotify Family Europa Utf.,,197,0.23,100,100,20,SOURCE,0.046,0,0,0.046,20/01,20/03,Sweden,France,163326,"SE 100413256 LINDAL, LISA","LINDAL, LISA JOHANNA",Streaming Performance,Digital Performance,WHY AM I HERE,"LINDAL, LISA JOHANNA"
752,202101202106,5fc31e4b-a649-40c3-b8d3-250f5835454c,7a3d5bf4-567d-4fb8-8252-de7e140e4c48,759ae9d9-9743-4ea0-a013-38192f4270cd,4a231511-3e2c-4341-abe1-46f0c295dafd,WW 008977019 00,6224454,756,DSPF,LINDAL,SDIGP,24515,37f402af-05d4-483f-933d-1a48650601cc,752,201801,201812,4539b94e-21a4-4e32-bdc3-5038d2a8bf6c,STIM DIRECT - SWITZERLAND,756,SWITZERLAN,Spotify Student Europa Utf.,,71,0.15,100,100,20,SOURCE,0.03,0,0,0.03,18/01,18/12,Sweden,Switzerland,163326,"SE 100413256 LINDAL, LISA","LINDAL, LISA JOHANNA",Streaming Performance,Digital Performance,WHY AM I HERE,"LINDAL, LISA JOHANNA"
752,202101202106,5fc31e4b-a649-40c3-b8d3-250f5835454c,7a3d5bf4-567d-4fb8-8252-de7e140e4c48,78069b73-f51e-4ba8-bc5d-e55669c5a6d1,4a231511-3e2c-4341-abe1-46f0c295dafd,WW 008977019 00,6224454,528,DSPF,LINDAL,SDIGP,24523,37f402af-05d4-483f-933d-1a48650601cc,752,201801,201812,31b9f787-cec8-4b49-db81-690f6f3e1b77,STIM DIRECT - NETHERLANDS,528,NETHERLAND,Spotify Premium Europa Utf.,,97,0.46,100,100,20,SOURCE,0.092,0,0,0.092,18/01,18/12,Sweden,Netherlands,163326,"SE 100413256 LINDAL, LISA","LINDAL, LISA JOHANNA",Streaming Performance,Digital Performance,WHY AM I HERE,"LINDAL, LISA JOHANNA"
752,202101202106,5fc31e4b-a649-40c3-b8d3-250f5835454c,7a3d5bf4-567d-4fb8-8252-de7e140e4c48,69d275c8-0da7-4077-9c5b-890efc31243e,4a231511-3e2c-4341-abe1-46f0c295dafd,WW 008977019 00,6224454,724,DSMC,LINDAL,SDIGM,24538,37f402af-05d4-483f-933d-1a48650601cc,752,202004,202006,982540d5-11c1-40ce-f64e-b8abc8a3cb77,"STIM DIRECT - SPAIN, PORTUGAL",620,PORTUGA,Spotify Free Europa Mek.,,114,0.01,100,100,60,SOURCE,0.006,0,0,0.006,20/04,20/06,Sweden,Spain,163326,"SE 100413256 LINDAL, LISA","LINDAL, LISA JOHANNA",Streaming Mechanical,Digital Mechanical,WHY AM I HERE,"LINDAL, LISA JOHANNA"
752,202101202106,5fc31e4b-a649-40c3-b8d3-250f5835454c,7a3d5bf4-567d-4fb8-8252-de7e140e4c48,1b0669c3-bafb-4b2f-992a-5a49709113b8,4a231511-3e2c-4341-abe1-46f0c295dafd,WW 008977019 00,6224454,724,DSPF,LINDAL,SDIGP,24538,37f402af-05d4-483f-933d-1a48650601cc,752,202004,202006,982540d5-11c1-40ce-f64e-b8abc8a3cb77,"STIM DIRECT - SPAIN, PORTUGAL",724,SPAI,Spotify Free Europa Utf.,,66,0.01,100,100,20,SOURCE,0.002,0,0,0.002,20/04,20/06,Sweden,Spain,163326,"SE 100413256 LINDAL, LISA","LINDAL, LISA JOHANNA",Streaming Performance,Digital Performance,WHY AM I HERE,"LINDAL, LISA JOHANNA"
752,202101202106,5fc31e4b-a649-40c3-b8d3-250f5835454c,7a3d5bf4-567d-4fb8-8252-de7e140e4c48,401041d5-a209-4eaa-8574-c8002cf907df,4a231511-3e2c-4341-abe1-46f0c295dafd,WW 008977019 00,6224454,276,DSMC,LINDAL,SDIGM,24539,37f402af-05d4-483f-933d-1a48650601cc,752,202004,202006,95bb1b52-e496-4b6d-e1ff-ab3817af8bdb,STIM DIRECT - GERMANY & EAST EUROPE,616,POLAN,Spotify Family Europa Mek.,,532,0.65,100,100,60,SOURCE,0.39,0,0,0.39,20/04,20/06,Sweden,Germany,163326,"SE 100413256 LINDAL, LISA","LINDAL, LISA JOHANNA",Streaming Mechanical,Digital Mechanical,WHY AM I HERE,"LINDAL, LISA JOHANNA"
752,202101202106,5fc31e4b-a649-40c3-b8d3-250f5835454c,7a3d5bf4-567d-4fb8-8252-de7e140e4c48,6d0ce692-6c0b-4c27-a437-c88d66a11d01,4a231511-3e2c-4341-abe1-46f0c295dafd,WW 008977019 00,6224454,276,DSMC,LINDAL,SDIGM,24539,37f402af-05d4-483f-933d-1a48650601cc,752,202004,202006,95bb1b52-e496-4b6d-e1ff-ab3817af8bdb,STIM DIRECT - GERMANY & EAST EUROPE,792,TURKE,Spotify Family Europa Mek.,,687,0.63,100,100,60,SOURCE,0.378,0,0,0.378,20/04,20/06,Sweden,Germany,163326,"SE 100413256 LINDAL, LISA","LINDAL, LISA JOHANNA",Streaming Mechanical,Digital Mechanical,WHY AM I HERE,"LINDAL, LISA JOHANNA"
752,202101202106,5fc31e4b-a649-40c3-b8d3-250f5835454c,7a3d5bf4-567d-4fb8-8252-de7e140e4c48,918be496-2a59-4962-8a9f-84b226c5220b,4a231511-3e2c-4341-abe1-46f0c295dafd,WW 008977019 00,6224454,276,DSMC,LINDAL,SDIGM,24539,37f402af-05d4-483f-933d-1a48650601cc,752,202004,202006,95bb1b52-e496-4b6d-e1ff-ab3817af8bdb,STIM DIRECT - GERMANY & EAST EUROPE,276,GERMAN,Spotify Family Europa Mek.,,3129,8.64,100,100,60,SOURCE,5.184,0,0,5.184,20/04,20/06,Sweden,Germany,163326,"SE 100413256 LINDAL, LISA","LINDAL, LISA JOHANNA",Streaming Mechanical,Digital Mechanical,WHY AM I HERE,"LINDAL, LISA JOHANNA"
752,202101202106,5fc31e4b-a649-40c3-b8d3-250f5835454c,7a3d5bf4-567d-4fb8-8252-de7e140e4c48,fc327b55-1211-4b02-b1c0-4eeb714f0ce1,4a231511-3e2c-4341-abe1-46f0c295dafd,WW 008977019 00,6224454,276,DSMC,LINDAL,SDIGM,24539,37f402af-05d4-483f-933d-1a48650601cc,752,202004,202006,95bb1b52-e496-4b6d-e1ff-ab3817af8bdb,STIM DIRECT - GERMANY & EAST EUROPE,348,HUNGAR,Spotify Family Europa Mek.,,109,0.12,100,100,60,SOURCE,0.072,0,0,0.072,20/04,20/06,Sweden,Germany,163326,"SE 100413256 LINDAL, LISA","LINDAL, LISA JOHANNA",Streaming Mechanical,Digital Mechanical,WHY AM I HERE,"LINDAL, LISA JOHANNA"
752,202101202106,5fc31e4b-a649-40c3-b8d3-250f5835454c,7a3d5bf4-567d-4fb8-8252-de7e140e4c48,872c14ae-8e3a-49b7-a4b0-3a40d37c8322,4a231511-3e2c-4341-abe1-46f0c295dafd,WW 008977019 00,6224454,276,DSMC,LINDAL,SDIGM,24539,37f402af-05d4-483f-933d-1a48650601cc,752,202004,202006,95bb1b52-e496-4b6d-e1ff-ab3817af8bdb,STIM DIRECT - GERMANY & EAST EUROPE,642,ROMANI,Spotify Free Europa Mek.,,147,0.02,100,100,60,SOURCE,0.012,0,0,0.012,20/04,20/06,Sweden,Germany,163326,"SE 100413256 LINDAL, LISA","LINDAL, LISA JOHANNA",Streaming Mechanical,Digital Mechanical,WHY AM I HERE,"LINDAL, LISA JOHANNA"
752,202101202106,5fc31e4b-a649-40c3-b8d3-250f5835454c,7a3d5bf4-567d-4fb8-8252-de7e140e4c48,b6d19e35-2f83-4d1a-aa5a-84cba424986a,4a231511-3e2c-4341-abe1-46f0c295dafd,WW 008977019 00,6224454,276,DSMC,LINDAL,SDIGM,24539,37f402af-05d4-483f-933d-1a48650601cc,752,202004,202006,95bb1b52-e496-4b6d-e1ff-ab3817af8bdb,STIM DIRECT - GERMANY & EAST EUROPE,276,GERMAN,Spotify Free Europa Mek.,,1050,0.59,100,100,60,SOURCE,0.354,0,0,0.354,20/04,20/06,Sweden,Germany,163326,"SE 100413256 LINDAL, LISA","LINDAL, LISA JOHANNA",Streaming Mechanical,Digital Mechanical,WHY AM I HERE,"LINDAL, LISA JOHANNA"
752,202101202106,5fc31e4b-a649-40c3-b8d3-250f5835454c,7a3d5bf4-567d-4fb8-8252-de7e140e4c48,ecbfc827-acbd-4a07-8e42-14bce2c9acfc,4a231511-3e2c-4341-abe1-46f0c295dafd,WW 008977019 00,6224454,276,DSMC,LINDAL,SDIGM,24539,37f402af-05d4-483f-933d-1a48650601cc,752,202004,202006,95bb1b52-e496-4b6d-e1ff-ab3817af8bdb,STIM DIRECT - GERMANY & EAST EUROPE,792,TURKE,Spotify Free Europa Mek.,,745,0.04,100,100,60,SOURCE,0.024,0,0,0.024,20/04,20/06,Sweden,Germany,163326,"SE 100413256 LINDAL, LISA","LINDAL, LISA JOHANNA",Streaming Mechanical,Digital Mechanical,WHY AM I HERE,"LINDAL, LISA JOHANNA"
752,202101202106,5fc31e4b-a649-40c3-b8d3-250f5835454c,7a3d5bf4-567d-4fb8-8252-de7e140e4c48,f818f397-52e1-432c-8e17-9d440788b27c,4a231511-3e2c-4341-abe1-46f0c295dafd,WW 008977019 00,6224454,276,DSMC,LINDAL,SDIGM,24539,37f402af-05d4-483f-933d-1a48650601cc,752,202004,202006,95bb1b52-e496-4b6d-e1ff-ab3817af8bdb,STIM DIRECT - GERMANY & EAST EUROPE,616,POLAN,Spotify Free Europa Mek.,,669,0.04,100,100,60,SOURCE,0.024,0,0,0.024,20/04,20/06,Sweden,Germany,163326,"SE 100413256 LINDAL, LISA","LINDAL, LISA JOHANNA",Streaming Mechanical,Digital Mechanical,WHY AM I HERE,"LINDAL, LISA JOHANNA"
752,202101202106,5fc31e4b-a649-40c3-b8d3-250f5835454c,7a3d5bf4-567d-4fb8-8252-de7e140e4c48,675f2311-6446-42ec-8f95-6a9765c6a64d,4a231511-3e2c-4341-abe1-46f0c295dafd,WW 008977019 00,6224454,276,DSMC,LINDAL,SDIGM,24539,37f402af-05d4-483f-933d-1a48650601cc,752,202004,202006,95bb1b52-e496-4b6d-e1ff-ab3817af8bdb,STIM DIRECT - GERMANY & EAST EUROPE,276,GERMAN,Spotify Premium Europa Mek.,,2132,9.29,100,100,60,SOURCE,5.574,0,0,5.574,20/04,20/06,Sweden,Germany,163326,"SE 100413256 LINDAL, LISA","LINDAL, LISA JOHANNA",Streaming Mechanical,Digital Mechanical,WHY AM I HERE,"LINDAL, LISA JOHANNA"
752,202101202106,5fc31e4b-a649-40c3-b8d3-250f5835454c,7a3d5bf4-567d-4fb8-8252-de7e140e4c48,cfeca12a-08f4-4ba8-a416-a132d4367949,4a231511-3e2c-4341-abe1-46f0c295dafd,WW 008977019 00,6224454,276,DSMC,LINDAL,SDIGM,24539,37f402af-05d4-483f-933d-1a48650601cc,752,202004,202006,95bb1b52-e496-4b6d-e1ff-ab3817af8bdb,STIM DIRECT - GERMANY & EAST EUROPE,616,POLAN,Spotify Premium Europa Mek.,,327,0.69,100,100,60,SOURCE,0.414,0,0,0.414,20/04,20/06,Sweden,Germany,163326,"SE 100413256 LINDAL, LISA","LINDAL, LISA JOHANNA",Streaming Mechanical,Digital Mechanical,WHY AM I HERE,"LINDAL, LISA JOHANNA"
752,202101202106,5fc31e4b-a649-40c3-b8d3-250f5835454c,7a3d5bf4-567d-4fb8-8252-de7e140e4c48,fc446f10-e786-447d-8f65-3e91993a6140,4a231511-3e2c-4341-abe1-46f0c295dafd,WW 008977019 00,6224454,276,DSMC,LINDAL,SDIGM,24539,37f402af-05d4-483f-933d-1a48650601cc,752,202004,202006,95bb1b52-e496-4b6d-e1ff-ab3817af8bdb,STIM DIRECT - GERMANY & EAST EUROPE,792,TURKE,Spotify Premium Europa Mek.,,809,1.43,100,100,60,SOURCE,0.858,0,0,0.858,20/04,20/06,Sweden,Germany,163326,"SE 100413256 LINDAL, LISA","LINDAL, LISA JOHANNA",Streaming Mechanical,Digital Mechanical,WHY AM I HERE,"LINDAL, LISA JOHANNA"
752,202101202106,5fc31e4b-a649-40c3-b8d3-250f5835454c,7a3d5bf4-567d-4fb8-8252-de7e140e4c48,62d022fb-fc44-4d4d-8ade-56e8955a80c6,4a231511-3e2c-4341-abe1-46f0c295dafd,WW 008977019 00,6224454,276,DSMC,LINDAL,SDIGM,24539,37f402af-05d4-483f-933d-1a48650601cc,752,202004,202006,95bb1b52-e496-4b6d-e1ff-ab3817af8bdb,STIM DIRECT - GERMANY & EAST EUROPE,276,GERMAN,Spotify Student Europa Mek.,,296,0.58,100,100,60,SOURCE,0.348,0,0,0.348,20/04,20/06,Sweden,Germany,163326,"SE 100413256 LINDAL, LISA","LINDAL, LISA JOHANNA",Streaming Mechanical,Digital Mechanical,WHY AM I HERE,"LINDAL, LISA JOHANNA"
752,202101202106,5fc31e4b-a649-40c3-b8d3-250f5835454c,7a3d5bf4-567d-4fb8-8252-de7e140e4c48,bfcb459c-5fed-4fb0-9f3b-c9a8021747b0,4a231511-3e2c-4341-abe1-46f0c295dafd,WW 008977019 00,6224454,276,DSMC,LINDAL,SDIGM,24539,37f402af-05d4-483f-933d-1a48650601cc,752,202004,202006,95bb1b52-e496-4b6d-e1ff-ab3817af8bdb,STIM DIRECT - GERMANY & EAST EUROPE,792,TURKE,Spotify Student Europa Mek.,,384,0.32,100,100,60,SOURCE,0.192,0,0,0.192,20/04,20/06,Sweden,Germany,163326,"SE 100413256 LINDAL, LISA","LINDAL, LISA JOHANNA",Streaming Mechanical,Digital Mechanical,WHY AM I HERE,"LINDAL, LISA JOHANNA"
752,202101202106,5fc31e4b-a649-40c3-b8d3-250f5835454c,7a3d5bf4-567d-4fb8-8252-de7e140e4c48,1082695f-374e-493d-969d-4bf61db0b0a3,4a231511-3e2c-4341-abe1-46f0c295dafd,WW 008977019 00,6224454,276,DSPF,LINDAL,SDIGP,24539,37f402af-05d4-483f-933d-1a48650601cc,752,202004,202006,95bb1b52-e496-4b6d-e1ff-ab3817af8bdb,STIM DIRECT - GERMANY & EAST EUROPE,792,TURKE,Spotify Family Europa Utf.,,687,0.32,100,100,20,SOURCE,0.064,0,0,0.064,20/04,20/06,Sweden,Germany,163326,"SE 100413256 LINDAL, LISA","LINDAL, LISA JOHANNA",Streaming Performance,Digital Performance,WHY AM I HERE,"LINDAL, LISA JOHANNA"
752,202101202106,5fc31e4b-a649-40c3-b8d3-250f5835454c,7a3d5bf4-567d-4fb8-8252-de7e140e4c48,96c0ae96-daa2-4348-8877-59e0dc5f3ed3,4a231511-3e2c-4341-abe1-46f0c295dafd,WW 008977019 00,6224454,276,DSPF,LINDAL,SDIGP,24539,37f402af-05d4-483f-933d-1a48650601cc,752,202004,202006,95bb1b52-e496-4b6d-e1ff-ab3817af8bdb,STIM DIRECT - GERMANY & EAST EUROPE,348,HUNGAR,Spotify Family Europa Utf.,,109,0.18,100,100,20,SOURCE,0.036,0,0,0.036,20/04,20/06,Sweden,Germany,163326,"SE 100413256 LINDAL, LISA","LINDAL, LISA JOHANNA",Streaming Performance,Digital Performance,WHY AM I HERE,"LINDAL, LISA JOHANNA"
752,202101202106,5fc31e4b-a649-40c3-b8d3-250f5835454c,7a3d5bf4-567d-4fb8-8252-de7e140e4c48,a1646bb7-7d02-4b11-a8eb-e9f39b8eaa92,4a231511-3e2c-4341-abe1-46f0c295dafd,WW 008977019 00,6224454,276,DSPF,LINDAL,SDIGP,24539,37f402af-05d4-483f-933d-1a48650601cc,752,202004,202006,95bb1b52-e496-4b6d-e1ff-ab3817af8bdb,STIM DIRECT - GERMANY & EAST EUROPE,616,POLAN,Spotify Family Europa Utf.,,532,0.62,100,100,20,SOURCE,0.124,0,0,0.124,20/04,20/06,Sweden,Germany,163326,"SE 100413256 LINDAL, LISA","LINDAL, LISA JOHANNA",Streaming Performance,Digital Performance,WHY AM I HERE,"LINDAL, LISA JOHANNA"
